"MovieID","AvgRating","Genres","Title","Year"
2905,4.60869565217391,"Action","Sanjuro (1962)",1962
2019,4.56050955414013,"Action","Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)",1954
858,4.52496626180837,"Action","Godfather, The (1972)",1972
1198,4.47772474144789,"Action","Raiders of the Lost Ark (1981)",1981
260,4.45369441658308,"Action","Star Wars: Episode IV - A New Hope (1977)",1977
1221,4.35756501182033,"Action","Godfather: Part II, The (1974)",1974
2028,4.33735393893705,"Action","Saving Private Ryan (1998)",1998
2571,4.31583011583012,"Action","Matrix, The (1999)",1999
1197,4.3037100949094,"Action","Princess Bride, The (1987)",1987
1233,4.3026973026973,"Action","Boat, The (Das Boot) (1981)",1981
3172,5,"Adventure","Ulysses (Ulisse) (1954)",1954
2905,4.60869565217391,"Adventure","Sanjuro (1962)",1962
1198,4.47772474144789,"Adventure","Raiders of the Lost Ark (1981)",1981
260,4.45369441658308,"Adventure","Star Wars: Episode IV - A New Hope (1977)",1977
1204,4.40192539109507,"Adventure","Lawrence of Arabia (1962)",1962
1262,4.3764367816092,"Adventure","Great Escape, The (1963)",1963
3470,4.32608695652174,"Adventure","Dersu Uzala (1974)",1974
1197,4.3037100949094,"Adventure","Princess Bride, The (1987)",1987
1196,4.29297658862876,"Adventure","Star Wars: Episode V - The Empire Strikes Back (1980)",1980
1254,4.28918322295806,"Adventure","Treasure of the Sierra Madre, The (1948)",1948
745,4.52054794520548,"Animation","Close Shave, A (1995)",1995
1148,4.50793650793651,"Animation","Wrong Trousers, The (1993)",1993
720,4.42694063926941,"Animation","Wallace & Gromit: The Best of Aardman Animation (1996)",1996
1223,4.3615221987315,"Animation","Grand Day Out, A (1992)",1992
3429,4.33576642335766,"Animation","Creature Comforts (1990)",1990
3114,4.21892744479495,"Animation","Toy Story 2 (1999)",1999
3000,4.14782608695652,"Animation","Princess Mononoke, The (Mononoke Hime) (1997)",1997
1,4.14684641309581,"Animation","Toy Story (1995)",1995
741,4.08917197452229,"Animation","Ghost in the Shell (Kokaku kidotai) (1995)",1995
2761,4.04747774480712,"Animation","Iron Giant, The (1999)",1999
919,4.24796274738067,"Children's","Wizard of Oz, The (1939)",1939
3114,4.21892744479495,"Children's","Toy Story 2 (1999)",1999
1,4.14684641309581,"Children's","Toy Story (1995)",1995
2761,4.04747774480712,"Children's","Iron Giant, The (1999)",1999
1023,3.98642533936652,"Children's","Winnie the Pooh and the Blustery Day (1968)",1968
1097,3.96518289995593,"Children's","E.T. the Extra-Terrestrial (1982)",1982
1282,3.90455991516437,"Children's","Fantasia (1940)",1940
1028,3.89416419386746,"Children's","Mary Poppins (1964)",1964
34,3.89149057681325,"Children's","Babe (1995)",1995
595,3.88584905660377,"Children's","Beauty and the Beast (1991)",1991
1830,5,"Comedy","Follow the Bitch (1998)",1998
3233,5,"Comedy","Smashing Time (1967)",1967
3607,5,"Comedy","One Little Indian (1973)",1973
745,4.52054794520548,"Comedy","Close Shave, A (1995)",1995
1148,4.50793650793651,"Comedy","Wrong Trousers, The (1993)",1993
3030,4.4046511627907,"Comedy","Yojimbo (1961)",1961
3307,4.38745387453875,"Comedy","City Lights (1931)",1931
3022,4.36893203883495,"Comedy","General, The (1927)",1927
1223,4.3615221987315,"Comedy","Grand Day Out, A (1992)",1992
3429,4.33576642335766,"Comedy","Creature Comforts (1990)",1990
3656,5,"Crime","Lured (1947)",1947
858,4.52496626180837,"Crime","Godfather, The (1972)",1972
50,4.5171060011217,"Crime","Usual Suspects, The (1995)",1995
3517,4.5,"Crime","Bells, The (1926)",1926
3435,4.41560798548094,"Crime","Double Indemnity (1944)",1944
1221,4.35756501182033,"Crime","Godfather: Part II, The (1974)",1974
1234,4.32030505243089,"Crime","Sting, The (1973)",1973
1260,4.30194805194805,"Crime","M (1931)",1931
910,4.30048076923077,"Crime","Some Like It Hot (1959)",1959
296,4.27821280515891,"Crime","Pulp Fiction (1994)",1994
787,5,"Documentary","Gate of Heavenly Peace, The (1995)",1995
3881,5,"Documentary","Bittersweet Motel (2000)",2000
3338,4.44444444444444,"Documentary","For All Mankind (1989)",1989
2930,4.4,"Documentary","Return with Honor (1998)",1998
128,4.33333333333333,"Documentary","Jupiter's Wife (1994)",1994
1147,4.32129963898917,"Documentary","When We Were Kings (1996)",1996
3679,4.2741935483871,"Documentary","Decline of Western Civilization, The (1981)",1981
363,4.25806451612903,"Documentary","Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",1993
1189,4.25278810408922,"Documentary","Thin Blue Line, The (1988)",1988
